date,exp_day,amount,species,salinity,treatment,room,sediment,csum,sr
20210825,1,0,RP,5,C,310,muddy,0,1
20210825,1,0,RP,5,H,319,muddy,0,1
20210826,2,0,RP,5,C,310,muddy,0,1
20210826,2,0,RP,5,H,319,muddy,0,1
20210827,3,2,RP,5,C,310,muddy,2,0.8333
20210827,3,1,RP,5,H,319,muddy,1,0.9167
20210828,4,0,RP,5,C,310,muddy,2,0.8333
20210828,4,1,RP,5,H,319,muddy,2,0.8333
20210829,5,0,RP,5,C,310,muddy,2,0.8333
20210829,5,2,RP,5,H,319,muddy,4,0.6667
20210830,6,0,RP,5,C,310,muddy,2,0.8333
20210830,6,6,RP,5,H,319,muddy,10,0.1667
20210831,7,4,RP,5,C,310,muddy,6,0.5
20210831,7,2,RP,5,H,319,muddy,12,0
20210901,8,3,RP,5,C,310,muddy,9,0.25
20210901,8,0,RP,5,H,319,muddy,12,0
20210902,9,1,RP,5,C,310,muddy,10,0.1667
20210902,9,0,RP,5,H,319,muddy,12,0
20210903,10,0,RP,5,C,310,muddy,10,0.1667
20210903,10,0,RP,5,H,319,muddy,12,0
20210904,11,1,RP,5,C,310,muddy,11,0.0833
20210904,11,0,RP,5,H,319,muddy,12,0
20210905,12,1,RP,5,C,310,muddy,12,0
20210905,12,0,RP,5,H,319,muddy,12,0
20210906,13,0,RP,5,C,310,muddy,12,0
20210906,13,0,RP,5,H,319,muddy,12,0
20210907,14,0,RP,5,C,310,muddy,12,0
20210907,14,0,RP,5,H,319,muddy,12,0
20210908,15,0,RP,5,C,310,muddy,12,0
20210908,15,0,RP,5,H,319,muddy,12,0
20210909,16,0,RP,5,C,310,muddy,12,0
20210909,16,0,RP,5,H,319,muddy,12,0
20210910,17,0,RP,5,C,310,muddy,12,0
20210910,17,0,RP,5,H,319,muddy,12,0
20210911,18,0,RP,5,C,310,muddy,12,0
20210911,18,0,RP,5,H,319,muddy,12,0
20210912,19,0,RP,5,C,310,muddy,12,0
20210912,19,0,RP,5,H,319,muddy,12,0
20210913,20,0,RP,5,C,310,muddy,12,0
20210913,20,0,RP,5,H,319,muddy,12,0
20210914,21,0,RP,5,C,310,muddy,12,0
20210914,21,0,RP,5,H,319,muddy,12,0
20210915,22,0,RP,5,C,310,muddy,12,0
20210915,22,0,RP,5,H,319,muddy,12,0
20210916,23,0,RP,5,C,310,muddy,12,0
20210916,23,0,RP,5,H,319,muddy,12,0
20210917,24,0,RP,5,C,310,muddy,12,0
20210917,24,0,RP,5,H,319,muddy,12,0
20210918,25,0,RP,5,C,310,muddy,12,0
20210918,25,0,RP,5,H,319,muddy,12,0
20210825,1,0,RP,5,C,310,sandy,0,1
20210825,1,0,RP,5,H,319,sandy,0,1
20210826,2,0,RP,5,C,310,sandy,0,1
20210826,2,0,RP,5,H,319,sandy,0,1
20210827,3,0,RP,5,C,310,sandy,0,1
20210827,3,0,RP,5,H,319,sandy,0,1
20210828,4,0,RP,5,C,310,sandy,0,1
20210828,4,3,RP,5,H,319,sandy,3,0.75
20210829,5,0,RP,5,C,310,sandy,0,1
20210829,5,2,RP,5,H,319,sandy,5,0.5833
20210830,6,1,RP,5,C,310,sandy,1,0.9167
20210830,6,6,RP,5,H,319,sandy,11,0.0833
20210831,7,6,RP,5,C,310,sandy,7,0.4167
20210831,7,1,RP,5,H,319,sandy,12,0
20210901,8,2,RP,5,C,310,sandy,9,0.25
20210901,8,0,RP,5,H,319,sandy,12,0
20210902,9,0,RP,5,C,310,sandy,9,0.25
20210902,9,0,RP,5,H,319,sandy,12,0
20210903,10,2,RP,5,C,310,sandy,11,0.0833
20210903,10,0,RP,5,H,319,sandy,12,0
20210904,11,0,RP,5,C,310,sandy,11,0.0833
20210904,11,0,RP,5,H,319,sandy,12,0
20210905,12,1,RP,5,C,310,sandy,12,0
20210905,12,0,RP,5,H,319,sandy,12,0
20210906,13,0,RP,5,C,310,sandy,12,0
